	Data	Id	Label	Median	Signif	Substr	pVal
297	0.17	Median_IFI	2394	0.875	no	yeast	0.8086377565740883
298	0.07	Median_IFI	2538	0.345	no	yeast	0.5610200913327458
299	0.12	Median_IFI	2547	0.855	no	yeast	0.5248671992940548
300	23.66	Median_IFI	2554	8.645	no	yeast	0.17541358133502022
301	0.265	Median_IFI	2608	0.83	no	yeast	0.5259578466084788
302	0.12	Median_IFI	2609	0.1375	no	yeast	0.21012184636185915
303	9.14	Median_IFI	2617	23.03	no	yeast	0.01507432264840723
304	81.17	Median_IFI	2618	25.6675	yes	yeast	0.0010528124695498198
305	0.38	Median_IFI	2624	0.38	no	yeast	0.9662789817905177
306	0.13	Median_IFI	2625	21.4875	yes	yeast	0.0027146981449314065
307	0.07	Median_IFI	2634	0.16	no	yeast	0.25124061237500683
308	4.37	Median_IFI	2635	9.645	yes	yeast	0.007283240359214769
309	0.12	Median_IFI	4158	34.56	no	yeast	0.020087775371797546
310	40.355	Median_IFI	4159	16.822499999999998	no	yeast	0.1976673606859452
311	0.545	Median_IFI	emptySplitGal4	0.29	no	yeast	1.0
312	0.1	Median_IFI	0730	0.08	yes	yeast	2.6148780761295688e-05
313	0.255	Median_IFI	0731	0.3175	no	yeast	0.9919495025550509
314	0.13	Median_IFI	0732	0.09	yes	yeast	0.0025722336094205
315	0.1	Median_IFI	0923	0.24	no	yeast	0.30336711089679236
316	4.335	Median_IFI	1046	1.7650000000000001	no	yeast	1.0
317	30.105	Median_IFI	1052	0.245	no	yeast	0.8243330035614154
318	10.09	Median_IFI	1053	34.32	yes	yeast	2.3376174929361633e-05
319	32.63	Median_IFI	1054	2.78	no	yeast	0.16697769998509887
320	8.06	Median_IFI	1063	4.5625	no	yeast	0.1431882794569608
321	20.475	Median_IFI	1073	4.9475	no	yeast	0.0395800036377323
322	1.31	Median_IFI	1075	9.8025	no	yeast	0.06633503470962215
323	25.23	Median_IFI	1077	37.89	yes	yeast	0.0009904370673018516
324	51.17	Median_IFI	1543	35.4975	yes	yeast	0.00018933401878420882
325	0.65	Median_IFI	1545	35.53	yes	yeast	0.00015929835282465745
326	0.08	Median_IFI	1549	0.08	yes	yeast	2.192914645086058e-05
327	0.12	Median_IFI	1550	0.08	yes	yeast	0.00027919356681148735
328	0.905	Median_IFI	1554	32.04	yes	yeast	0.00015328096920419587
329	59.615	Median_IFI	1557	9.81	no	yeast	0.031097226883546433
330	0.61	Median_IFI	1558	4.48	no	yeast	0.07415218567421411
331	10.65	Median_IFI	1561	15.205	no	yeast	0.010200396988761403
332	13.87	Median_IFI	1564	13.87	no	yeast	0.055772593240298284
333	0.445	Median_IFI	1565	2.72	no	yeast	0.18254082760497736
334	0.09	Median_IFI	1566	0.37	no	yeast	0.3690581252054873
335	1.4	Median_IFI	1567	17.1675	no	yeast	0.07378087703526331
336	5.81	Median_IFI	1569	5.81	no	yeast	0.15059516495350958
337	24.52	Median_IFI	1570	0.47	no	yeast	0.33898548926248173
338	86.86	Median_IFI	1575	3.955	no	yeast	0.4279417752220114
339	31.755	Median_IFI	1576	12.7725	no	yeast	0.051962359476181635
340	377.8	Median_IFI	1579	0.98	no	yeast	0.6418304326820448
341	103.115	Median_IFI	1581	12.2	no	yeast	0.023082308423995772
342	0.13	Median_IFI	1587	0.13	no	yeast	0.020600188593029256
343	28.09	Median_IFI	1588	28.09	no	yeast	0.017992950462815085
